name,date,time,heat,temp,notes
sulawesi-gunung-karua-farm,3/28/21,0,10,240,
sulawesi-gunung-karua-farm,3/28/21,0.5,10,210,
sulawesi-gunung-karua-farm,3/28/21,1,10,190,
sulawesi-gunung-karua-farm,3/28/21,1.5,10,185,
sulawesi-gunung-karua-farm,3/28/21,2,9,180,steam
sulawesi-gunung-karua-farm,3/28/21,2.5,9,190,
sulawesi-gunung-karua-farm,3/28/21,3,7,195,
sulawesi-gunung-karua-farm,3/28/21,3.5,7,200,
sulawesi-gunung-karua-farm,3/28/21,4,7,200,browning
sulawesi-gunung-karua-farm,3/28/21,5,5,210,
sulawesi-gunung-karua-farm,3/28/21,5.5,5,210,darkening
sulawesi-gunung-karua-farm,3/28/21,6,5,210,FC
sulawesi-gunung-karua-farm,3/28/21,6.5,5,210,
sulawesi-gunung-karua-farm,3/28/21,7,3,210,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
